PALLAVI & PANKAJ BHAGWATKAR,STUDIOPPBA, PUNE,PRINCIPAL ARCHITECTS,,
ABHIGYAN NEOGI,CHROMED DESIGN STUDIO, DELHI,FOUNDER & PRINCIPAL ARCHITECT,,
ANU CHAUHAN,ZERO9, MUMBAI,ARCHITECT & STYLIST,,
ARIJEET RAIKAR,ARIJEET RAIKAR DESIGN STUDIO, GOA,PRINCIPAL ARCHITECT,,
ASAD KHAN,INTEGRATED DESIGN + ARCHITECTURE STUDIO (ID+AS), BENGALURU,PRINCIPAL,,
 ASHA SAIRAM & PANKHURI GOEL,STUDIO LOTUS, DELHI,DESIGN PRINCIPALS,,
ASHFAQ ABOOJIWALA ,NBZ ARCHITECTURAL CONSULTANTS, NASHIK,PARTNER,,
ASHWATH NARAYANAN,1405 DESIGN STUDIO, CHENNAI,INTERIOR ARCHITECT & PARTNER,,
AYESHA PURI,SANJAY PURI ARCHITECTS, MUMBAI,JUNIOR ASSOCIATE,,
 PASHMIN SHAH & SATYAJEET PATWARDHAN,AMOEBA DESIGN, PUNE,FOUNDERS,,
 PRIYANKA SINGH, CHALK STUDIO, GURUGRAM,STUDIO HEAD + FOUNDER,,
RAJAT SANGHVI,MAKESPACE ARCHITECTS, INDORE,PRINCIPAL ARCHITECT,,
ROHAN KHATRI,NEOGENESIS+STUDIO0261, SURAT,INTERIOR DESIGNER,,
RONAK GANGDEV,PLAYBALL STUDIO, RAJKOT,PRINCIPAL ARCHITECT,,
PIYUSH MEHRA,P S DESIGN, MUMBAI,PRINCIPAL ARCHITECT,,
SAHIL JAIN,MORPHLAB, MUMBAI,PRINCIPAL ARCHITECT,,
SARAH SHAM,ESSAJEES ATELIER, MUMBAI,PRINCIPAL DESIGNER,,
SATHEES AV,SATKRIYA, KOZHIKODE,PRINCIPAL ARCHITECT,,
SATVIKI TRIVEDI,STUDIOSATVIKI, AHMEDABAD,INTERIOR DESIGNER & FOUNDER,,
SHARIGA R,STUDIO VISTA ARCHITECTS, KOCHI,PARTNER,,
BHYRAV BR,1LEAPINGFROG STUDIO, BENGALURU,PRINCIPAL ARCHITECT,,
CHINTAN PATEL,LIMITED EDITION DESIGN STUDIO, MUMBAI,CREATIVE HEAD & PARTNER,,
CHIRAG RANGHOLIA,D3LAB, SURAT,DIRECTOR & CO-FOUNDER,,
DEVAL SHAH,SAGA DESIGN ARCHITECTS, MUMBAI,PARTNER,,
DEVDATT PANDYA,STUDIO 919 ARCHITECTS, AHMEDABAD,PRINCIPAL ARCHITECT,,
DHRUVA KALRA,RMDK, DELHI,SENIOR PARTNER,,
DISHA BHAVSAR & SHIVANI AJMERA,QUIRK STUDIO, MUMBAI,PRINCIPAL DESIGNERS & CO-FOUNDERS,,
FAISAL VOHRA,F+S DESIGNS, HYDERABAD,PARTNER,,
GURUPRAKASH G,BARE.PINEAPPLE, BENGALURU,PRINCIPAL ARCHITECT,,
KOMAL PATEL,KAAS DESIGN STUDIO, PUNE,FOUNDER,,
SHREYAS PATIL,SHREYAS PATIL ARCHITECTS, BELGAUM,ARCHITECT,,
SHRUTI GAONKAR,PATCH DESIGN STUDIO, MUMBAI,PARTNER AND PRINCIPAL ARCHITECT,,
SHRUTI HUMANE,STUDIO HU’MANE, PUNE,PRINCIPAL LANDSCAPE ARCHITECT,,
SHRUTI VEDAVYAS,JAISIM FOUNTAINHEAD, BENGALURU,SENIOR ARCHITECT,,
SRUTHI BIJUNATH, VSP ARCHITECTS, CALICUT,ARCHITECT,,
SWETA DORIWALA, STUDIO LAGOM, SURAT,SENIOR ARCHITECT,,
TOYAM PATEL,AAKRUTI ARCHITECTS, AHMEDABAD,PRINCIPAL INTERIOR ARCHITECT & PARTNER,,
SHWETA KAW,STUDIO MERAKI, NOIDA,PRINCIPAL,,
MAHIR AALAM,ATTIKS ARCHITECTURE, KONDOTTY, KERALA,PARTNER ARCHITECT,
MANJUNATH CN,STUDIO WHITESCAPE, BENGALURU,PRINCIPAL ARCHITECT,,
MANOJ PATEL,MANOJ PATEL DESIGN STUDIO, VADODARA,PRINCIPAL ARCHITECT,,
 MAYUR MANGUKIYA & ANKIT SOJITRA,STUDIO 17, SURAT,INTERIOR DESIGNER & CIVIL ENGINEER,,
NIKITA MEHTA,ARCHITECT HAFEEZ CONTRACTOR, MUMBAI,ASSOCIATE,,
UJJWAL SAGAR,STUDIO BIPOLAR, DELHI,FOUNDER,,
VISHVAJIT HADA,THE GRID ARCHITECTS, AHMEDABAD,SENIOR ARCHITECT/ PARTNER,,
ROHAN KHATRI,NEOGENESIS+STUDIO0261, SURAT,INTERIOR DESIGNER,,
PASHMIN SHAH & SATYAJEET PATWARDHAN, AMOEBA DESIGN, PUNE,FOUNDERS,,
PRIYANKA SINGH,CHALK STUDIO, GURUGRAM,,,
